text,rating,time,user_id,gmap_id,category,description,avg_rating,num_of_reviews,policy_violation_label
Great wine & whiskey selections. Very cool whiskey club. Wine tastings ($5 usually on Fridays). Love this place.,5,1599952894949,112725177874087406629,0x808e16629191b301:0x655e62266cf604ae,"['Liquor store', 'Wine bar']",,4.7,28,No Violation
Quiet nice for walking dogs or cats,5,1467902640895,105307673303185085266,0x808f7a2d66a0d0c5:0x1d9dae73f7e4234,"['Park', 'Tourist attraction']","Wooded site with playgrounds & a basketball court, a picnic shelter, grills & a recreation building.",4.3,198,Irrelevant Content
"Always friendly, always get your order right!",5,1614755591540,111093704390280689447,0x80d956d2d2102623:0x1c0840dcc9223ec1,"['Fast food restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Lunch restaurant', 'Takeout Restaurant', 'Mexican restaurant', 'Restaurant', 'Taco restaurant', 'Tex-Mex restaurant', 'Vegetarian restaurant']","Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.",3.9,1114,No Violation
Waiter was nice,5,1552975197857,101818399552906675164,0x80c2f89706b056fd:0xb07350188c984137,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",4.2,1473,No Violation
Horrible service workers don't understand English even though this is the usa,1,1603140146100,104562753902608823661,0x80dd2d11c50874dd:0x9d1ee9a945f5844d,"['Dollar store', 'Craft store', 'Discount store', 'Grocery store', 'Home goods store', 'Kitchen supply store', 'Party store', 'School supply store', 'Toy store', 'Variety store']","Chain offering an eclectic mix of household items, beauty products, food & more at discount prices.",4.1,98,Rant Without Visit
My favorite produce store in La Mission. The area is on the rough side but the staff make up for it.,5,1594748668277,100059374965699339379,0x808f7e2373e50597:0xc580c8c093a8aca8,"['Grocery store', 'Supermarket']",,4.3,173,Irrelevant Content
Great plaz,5,1533000960760,100605342267872635230,0x809ac5715b5c471b:0xbdb0559ce2391a5,['Shopping mall'],,3.9,4210,Irrelevant Content
Nice place people very friendly and food fresh,4,1497743754198,108539545675262522369,0x80c2b14a52742925:0x5d287aa11455ce31,"['Fast food restaurant', 'Hamburger restaurant']","Fast-food chain known for its variety of piled-high burgers & meal combos, plus shakes.",3.9,787,No Violation
"(Translated by Google) Very good tacos especially those of al pastor

(Original)
Muy buenos tacos en especial los de al pastor",5,1570461520505,117738160531158252388,0x80dd29674f30fbcb:0x881d0ca90e09c94d,['Mexican restaurant'],,4.3,98,No Violation
"(Translated by Google) Great variety of dishes, friendly and fast service. A great option to eat with the family

(Original)
Gran variedad de platillos, servicio amable y rapido. Una gran opción para comer en familia",5,1617027122639,113185921123572834900,0x80c2c920722aab7f:0x6e901b90b08ba825,"['Mexican restaurant', 'Caterer', 'Chicken restaurant', 'Fast food restaurant']",Fast-food chain outpost known for Mexican classics made with fire-grilled chicken.,3.6,1072,No Violation
The person at the window is extremely distracted and talking gossip... what happend to customers first... besides that I got helped by the supervisor to pick up my order very friendly... it's pretty busy tho so if you want something fast go to the second location on arboles,3,1519334670288,117859427482424937898,0x80e830068ba676d5:0x87690c3f00041f3c,"['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']","Classic, long-running fast-food chain known for its burgers, fries & shakes.",4.0,556,Rant Without Visit
Great!,5,1521895114389,113946657720826381458,0x80c2b83a0c914b15:0x3732fc8599fd53e7,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",3.8,3018,No Violation
The food has somehow gotten even better lately. French onion is off the charts good.,5,1612594344295,115127922653148937550,0x808586d351f1a75b:0x5699be1e5e16f0ff,"['Yacht club', 'Marina']",,4.7,385,No Violation
Great choice for Thai in Hillcrest amongst a crowded area of competitors.,4,1468633327996,102571686775397012885,0x80d954dab8ca9fed:0x3a24430c44cb3d7,"['Vietnamese restaurant', 'Asian restaurant', 'Takeout Restaurant', 'Noodle shop', 'Pho restaurant', 'Restaurant', 'Sandwich shop', 'Southeast Asian restaurant']","Vietnamese spot serving classic & inventive pho, stir-fries & more in a casual, contemporary space.",4.5,514,No Violation
Great place for concerts,4,1501964591575,115736756651319976717,0x8085809be90f0637:0xd558ef250f4addf9,"['Live music venue', 'Concert hall', 'Convention center', 'Event venue', 'Stage']",,4.5,3152,No Violation
Nice and clean.,5,1515415891246,110496737184177781440,0x80c35379de83a867:0xdac11554a50f2c9c,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']","Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",4.3,288,No Violation
Kyung is littttt🔥🔥🔥🔥🔥💯💯💯,5,1555301981966,116785410180257319922,0x80dd29c4167afffd:0x1724679c8f923edf,['Korean barbecue restaurant'],,4.1,182,Advertisement
Very clean and maintained well.,4,1596835858870,114459735652223669312,0x808f7b94f6d983e3:0x4b5d07901b66d1a8,"['Park', 'Tourist attraction']","Local park with a 130-person clubhouse offering parking, a playground & sports facilities.",4.5,404,No Violation
"Awesome authentic Mexican fruit & candy plus delicious meals, like tortas and tostadas! And the prices aren't bad either! Definitely my go-to place.",5,1536871283065,111007679301775321001,0x80ea4022c4df865b:0x6ecd0d5c62eb3058,['Ice cream shop'],,4.6,128,No Violation
"If you can find it, it's absolutely amazing. Also this is a nude beach.",5,1528672592208,103849319548794428333,0x80859229281e9899:0x8e1da915791bcd94,['Beach'],,4.6,76,Advertisement
My favorite store,5,1530657148600,112698841495218085716,0x80db6e90ad4a87dd:0x863fece033cdfac1,['Grocery store'],,4.4,552,Irrelevant Content
Beef in the fajitas was so tough we would not eat it my first taco they put in the beans fell apart when you picked it up. I had order my meal with no rice just beans but it came with rice. I ordered a second taco because I could not eat the first one and it fell apart the first time I picked it up. Will not be going back,1,1547137557666,112063664318979467177,0x8090445d2ead57f5:0x8fa419753f76ee75,"['Mexican restaurant', 'Restaurant']","Housemade tortilla chips, margaritas & familiar dishes in a bustling, unfussy environment.",4.3,606,Rant Without Visit
The Pharmacy is Always Good,5,1540160118947,103143645383700613365,0x80d9535e0b555343:0x8cbd838036636b7d,"['Grocery store', 'Grocery delivery service']",,4.2,1505,No Violation
"Very tasty, my friends pulled me out here from midtown, but as usual they were spot on. I'll have to get the more basic bowl next time as I wasn't excited about the tripe 😂",4,1572983836733,108606002569351695126,0x809ac55b6899f28b:0xf7b73d3234dc3a4,['Vietnamese restaurant'],,4.3,493,No Violation
"Nice and cozy restaurant on waterfront in Emeryville  always a great experience and good food, and free parking.",4,1520363077147,108410337729259732061,0x80857e507fb91ef5:0x9809ca65b46daa36,['Mexican restaurant'],"Lively, informal Mexican chain with a colorful, family-friendly setting plus tequilas & margaritas.",3.7,1878,No Violation
Staff were very friendly. Large selection of clothes and decent prices all around. Located in a nice strip mall area near plenty of restaurants.,5,1525215075279,109255186530715023474,0x808fcb63f5063daf:0xce2fd85fc6f7d5ac,"['Plus size clothing store', 'Fashion accessories store', 'Lingerie store', ""Women's clothing store""]","Women's clothing chain known for its trendy plus-size cocktail dresses, jeans, lingerie & footwear.",4.7,128,No Violation
Awesome homemade tortillas,5,1546922192445,105762126731250669999,0x80ec5c0372e848b9:0x456fc98caed3c5d,['Restaurant'],,4.5,198,No Violation
"An inexpensive full service grocery store I visit often for fruits, vegetables, meat, fish and other stuff",5,1491312050423,104420315948126841372,0x80c297411ef10729:0xa7896e9ded6f2cac,['Supermarket'],"Family-owned grocery store with a bakery, liquor department & deli with imported meats & cheeses.",4.2,1552,Advertisement
"good food, seemed home made. 4.5 stars is accurate.",5,1527114654180,114099980082652338541,0x80ecc584443a4e5b:0xa9acd391fdf6480e,"['Hamburger restaurant', 'Restaurant']",,4.5,396,No Violation
"Always a great stop when in San Diego. Good beer selection, good food offerings.",4,1488320950625,106206787116116204101,0x80d9535a3ebb533d:0xe4f887714fe0b89d,"['American restaurant', 'Bar']",A rotating menu of craft beers paired with New American small plates in a modern-yet-rustic setting.,4.3,1728,No Violation
Uncrowded and no frills.,3,1560897018282,109759730676082062617,0x8085a36f0c075053:0x3c161a48e71032be,"['Park', 'Tourist attraction']",,4.4,118,No Violation
The tables are filthy. The food is ok but overpriced. I've had much better from a taco truck. The only reason I'm not giving it a lower rating is because the lady at the counter was very nice and friendly and when they got my order wrong she took care of it very quickly.,3,1563501602721,113013538806189381778,0x8090358207882e67:0xc08822020292941a,"['Mexican restaurant', 'Latin American restaurant']",,4.2,458,No Violation
Tasty affordable 24hrs donut shop.,5,1572234655902,100526218599531856331,0x80c2c7647a658887:0x726da439fc33603f,['Donut shop'],"Retro-style bakery open 24/7 for donuts, sweet & savory croissants, muffins, milkshakes & coffee.",4.5,3315,Advertisement
It was beautiful,5,1578773730705,101128404809377365784,0x80db7fb5b4bad507:0xe5018b4cf2c37736,['Shopping mall'],"Sprawling shopping complex featuring a big department store, boutiques, services & eateries.",4.3,1917,No Violation
Oil changes and other car care provided,3,1518062555043,105783368817681036547,0x80905178271120b5:0x5c23b91a96b9f514,"['Auto repair shop', 'Auto radiator repair service', 'Auto tune up service', 'Brake shop', 'Car battery store', 'Car repair and maintenance', 'Mechanic', 'Muffler shop', 'Oil change service', 'Tire shop']",,4.2,303,Advertisement
Scott was wonderful with his service. The rest of the staff needs some training on Customer Service,4,1546722814335,110102430777713243543,0x80857e13a5324d1d:0xc44ae845491efd4b,"['Ice cream shop', 'Cake shop', 'Dessert shop']",Colorful ice cream parlor chain known for its many flavors plus sorbet & yogurt.,4.0,136,Rant Without Visit
Bad System!,1,1447738077939,101075730459694797313,0x80dcad51b8baaefb:0xbd7a00d396f32bf7,['Hospital'],,3.0,523,Rant Without Visit
Never have what I'm needing or looking for.,3,1532559923040,109646262231486851807,0x80c295127fc37889:0xcaf2803aa39bd2ef,"['Home improvement store', 'Appliance store', 'Building materials supplier', 'Flooring store', 'Furniture store', 'Grill store', 'Hardware store', 'Lawn equipment rental service', 'Outdoor furniture store', 'Rug store']","Home-improvement chain for appliances, gardening supplies, tools & more (some offer truck rentals).",3.9,1829,Irrelevant Content
VERY NICE THANKS,5,1613017122803,104535791580017222692,0x8094675f6a640ec5:0x9443ab04a842a2a6,['Laundromat'],,4.5,266,No Violation
"Food was good. Whatever we ordered was tasty.. Although my stake still wasn't hot after I requested to be repeated.
Service wasn't great. We had to call the waitress every time to attract her attention.",4,1615071965808,100884353456523365895,0x80c4b3942967a37f:0x147a713db52db9,"['American restaurant', 'Restaurant', 'Seafood restaurant', 'Steak house']","Casual setting with indoor & outdoor seating serves all-American dishes plus beer, wine & cocktails.",4.4,1168,No Violation
Huge portions so split when you can.  Very cute,5,1465222595083,106102377743341848482,0x80853d2cb1d1d39b:0x9c64540d4eb8571a,"['American restaurant', 'Breakfast restaurant', 'Brunch restaurant', 'Family restaurant', 'Lunch restaurant', 'Restaurant']",Enduring breakfast & lunch diner serving classic American comfort foods in a nostalgic setting.,4.4,1032,Irrelevant Content
"I love it,it's to expensive",5,1563384503816,111021785171369142490,0x80d957224e70a6fb:0x4c1c4816e0f3e10c,"['Chinese restaurant', 'Asian restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",4.1,173,Rant Without Visit
"Nice guy, great price, pays attention to details.",5,1470368578415,114214293671959542328,0x80c29b016b86b01b:0x3c3329adc12dd68f,"['Barber shop', 'Hair salon']",,4.7,87,Advertisement
Good food but the service was not great. They took a very very long time.,2,1479957055583,113698357723070478526,0x80c33575768659fb:0xf851db203b87882f,"['Japanese restaurant', 'Fast food restaurant', 'Japanese steakhouse', 'Restaurant', 'Steak house', 'Sushi restaurant', 'Teppanyaki restaurant']",Hibachi chain serving Japanese dishes grilled tableside by theatrical chefs.,4.2,2412,No Violation
Best sandwiches!!,5,1503815512662,106257693110326011547,0x80d959ba803204ef:0x6d1c26b89e314461,"['Grocery store', 'Asian grocery store', 'Supermarket']",,4.0,724,No Violation
Link to Alcatraz island,4,1540092009261,117045766014484281297,0x808580f9ba4c0c53:0xaf22fa732349f158,['Tourist attraction'],Visitors line up for the Alcatraz ferry tour at this waterfront pier with souvenir shops & fare.,4.5,4953,Irrelevant Content
"Great place to be, nice view and good food.",5,1582490803343,103306315028181909363,0x808e6a9afc81023b:0xf48e2c1896bb1e67,"['Tourist attraction', 'Fishing pier']","Beach shops, seafood restaurants, sea lions & fishing draw crowds to this landmark bayside pier.",4.6,9998,No Violation
"One of the better In-and-Out stores I’ve been too. It can be busy especially during lunch and dinner and even late night snacks/meals, but there’s a reason this one is packed. They are generous with Animal Fry toppings consistently when most other stores give you a tiny bit of onions and sauce. Staff is always friendly and ready to serve.",5,1574843138897,103190695812583475757,0x809b21ed811174fb:0x4cb851f880c32ec9,"['Hamburger restaurant', 'American restaurant', 'Diner', 'Fast food restaurant', 'Lunch restaurant', 'Restaurant']","Classic California-based burger chain serving customizable patties, hand-cut fries & thick shakes.",4.6,1563,No Violation
"Good atmosphere, enjoyed their burger a lot. Though there was a bit of a wait, the food was well worth the wait. Gordon, our waiter, was very attentive and made sure everything was to our liking. The mac & cheese was a little lackluster but everything else was delicious. Highly recommend.",5,1580873948495,102935164797525264127,0x809ad0c345e40001:0x5a442d56c6c3f126,['Sports bar'],"Upbeat & contemporary sports bar featuring a self-service beer wall, BBQ, karaoke & lunch specials.",4.0,138,No Violation
Great prices and friendly employees as well as nice.,5,1554942724307,116574452522003436582,0x809a7b7d34abc88d:0xd846c900eeffb3c,['Tattoo shop'],,4.5,37,Advertisement
The beer selection is awesome!,5,1518880677659,115736369552544697060,0x80dce911c98f2f85:0xc00be8bb70a3983f,"['American restaurant', 'Brewpub', 'Family restaurant', 'Pizza delivery', 'Pizza Takeout', 'Sports bar']",Chill hangout featuring a range of craft brews along with American food & dozens of TVs for sports.,4.4,655,No Violation
Always great,5,1535648387713,115493436407628688605,0x80db1c9258a1abdf:0xe9dda3cf6db5da70,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']",,3.8,4976,No Violation
"Love love this place!!! The atmosphere, the gondolin, walking down into the Shadowbrook, the food the waiters.....
absolutely amazing
Must go!!!",5,1555460994743,115796013029160330011,0x808e1573398f0ad5:0x2f08f1efc81ca16f,"['American restaurant', 'Fine dining restaurant', 'Restaurant', 'Seafood restaurant', 'Steak house', 'Wedding venue']",Quirky dining rooms & views of Soquel Creek come alongside California cuisine & a wine list.,4.7,1975,Advertisement
Alot of items where sold out but still great place,5,1600300804760,113265337447790262886,0x808fbb72204e88bb:0xab0dca7e35bc4d11,"['Furniture store', 'Appliance store', 'Bedroom furniture store', 'Lighting store', 'Outdoor furniture store']","Scandinavian chain selling ready-to-assemble furniture, plus housewares, in a warehouse-like space.",4.0,8999,No Violation
